fairness	Fairness
token_text_4	Sie können Ihre 888 Token zu Tron Link hinzufügen. Wählen Sie den Abschnitt Token und drücken Sie Adresse hinzufügen "TLvDJcvKJDi3QuHgFbJC6SeTj3UacmtQU3". Sobald Ihre 888 Token hinzugefügt wurden, können Sie sie nach Belieben verwalten.
token_title_5	Nachdem wir unsere Dividenden bekommen haben, werden die 888 Tokens verbrannt?
token_text_5	Nein! 888 Token werden für immer bei Ihnen sein, sofern Sie sich nicht für einen DEX-Austausch entscheiden. Solange Sie 888 Token in Ihrem Wallet haben, erhalten Sie Dividenden von 888TRON.com. Wenn sich die Anzahl der 888 Token, die Sie besitzen, im Laufe der Zeit nicht ändert, kann sich die Höhe der Dividenden, die Sie erhalten, im Laufe der Zeit verringern.
token_title_6	Wie viel sind 888 Token wert? Kann ich jetzt meine 888-Token austauschen?
token_text_6	Sie können auf der Registerkarte „Dividenden“ nach Informationen zu 888 in Echtzeit suchen. Der Wert von 888 hängt von der gesamten Plattform und der Community von 888TRON.com ab. 888 Token können zukünftig an DEX- und anderen Krypto-Börsen ausgetauscht werden.
token_title_7	Wie erhalte ich Dividenden auf meine 888 Token?
token_text_7	Um Dividenden zu erhalten, müssen Sie Ihre 888-Token abheben, sie einfrieren, bis die Dividendenausschüttungsperiode abgelaufen ist, und anschließend Ihre Tokens auftauen. Die Token, die am Ende jeder Bergbaustufe nicht eingefroren wurden, nehmen nicht an der Ausschüttung von Dividenden teil. Die Dividenden werden automatisch vom Smart-Vertrag auf Ihr Konto überwiesen, nachdem Ihre 888 Token nicht eingefroren wurden.
alreadyExist	Existiert bereits!
copy_link	Link kopieren
noMoney	Nicht genug TRX im Wallet.
reward_sum	Belohnung:
cards	Dice52
prediction	Vorhersage
result	Ergebnis
draw_under	Niedrigere Karte
draw_equal	Gleiche Karte
draw_over	Höhere Karte
payout_win	Auszahlung bei Gewinn:
multiplayer	Multiplikator:
win_chance	Gewinn Chance
how_dice	4. Das Deck enthält 52 Karten. Der niedrigste Rang ist 2 und der höchste Rang ist A (Ass). Der Spieler wählt eine beliebige Karte aus dem Deck. Der Spieler setzt dann eine Wette auf eines der folgenden drei Ergebnisse: Die nächste Karte (eine der 51 verbleibenden Karten), die zufällig ausgewählt wird, ist a) HÖHER, b) NIEDRIGER oder c) GLEICH im Rang als die erste Karte, die der Spieler aus dem Deck gezogen hat. Kartensymbole haben dabei eine Bedeutung im Spiel. Wenn der Spieler das Ergebnis erraten kann, gewinnt er oder sie die Wette multipliziert mit der Quote, die von der Karte und dem vom Spieler gewählten Ergebnis abhängt.
total_mined	Insgesamt abgebaut
unfreezeToWithdraw	Auftauen der 888 Tokens um abzuheben
subscribe	Abonnieren
your_email	Ihre Email
still_have_questions	Haben Sie noch Fragen?
send_email	Senden Sie uns eine e-mail:
bet_tooltip	Kleine Wetten (TRX 50-100) benutzen die selbe Energie im Tron-Netzwerk wie hohe Wetten, aber bauen dabei weniger Tokens ab und sind somit weniger profitabel, wenn man gewinnt.
support	Support:
exchange	Börse
leaderboard	Bestenliste
roadmap	Roadmap
roadmap_date_1	März
roadmap_text_1	Deutsche und Japanische Website Lokalisierung hinzufügen
roadmap_date_2	März
roadmap_text_2	Allgemeine Plattformverbesserungen und -optimierung (Geschwindigkeit und Transaktionskosten).
roadmap_date_3	April
roadmap_text_3	Start des europäischen Roulette-Spiels.
roadmap_date_4	April
roadmap_text_4	Vorstellung des 888 Ökosystemkonzepts und erste Schritte zum Entwicklungserfolg.
roadmap_date_5	Mai
roadmap_text_5	Start des Black Jack Spiels.
roadmap_date_6	Mai
roadmap_text_6	Bester Dev.Team-Wettbewerbsstart mit Preisgeldern über USD 100.000.
roadmap_date_7	Ab Juni
roadmap_text_7	erste Integration von Spielen und DAPPs, erstellt von externen dev.teams.
roadmap_date_8	Juli
roadmap_text_8	Rechtsrecherche (Gegenstand: Lizenzierung von 888tron.com)
question_1	Ich habe meine Wette (Gewinne) nicht wiederbekommen.
answer_1	Verwenden Sie Ihre TRX-Wallet-Nummer auf tronscan.org - Interne Transaktionen. Alle gewinnenden Auszahlungen stammen von dieser Adresse: TGtGhthzyLBYPUKDysXX1YSgRKPYVTQuMe
question_2	Ich habe meine Dividende nicht erhalten.
answer_2	Stellen Sie sicher, dass Ihre Token zum Zeitpunkt der Ausschüttung der Dividenden eingefroren wurden. Verwenden Sie Ihre TRX-Wallet-Nummer auf tronscan.org - Interne Transaktionen. Alle Divs-Auszahlungen stammen von dieser Adresse: TGtGhthzyLBYPUKDysXX1YSgRKPYVTQuMe
question_3	Ich habe eine Menge TRX, die ich beim Spielen fehlen.
answer_3	888Tron.com ist eine vollständig dezentralisierte Plattform. Wenn Ihre Wette von Smart Contract akzeptiert wurde, bedeutet dies, dass sie von Blockchain verarbeitet wurde und einfach über tronscan.org - Interne Transaktionen abgerufen werden kann. Alle gewinnenden Auszahlungen stammen von dieser Adresse: TGtGhthzyLBYPUKDysXX1YSgRKPYVTQuMe. Nicht akzeptierte Wetten haben keinen Einfluss auf Ihre Wallet und werden zurückgegeben. Aufgrund einer extrem hohen Anzahl von Wetten pro Sekunde (~ 15-20) können einige Wetten von Smart Contract abgelehnt werden.
question_4	Wie kann ich mein Spielprotokoll überprüfen?
answer_4	Sie können dieses Instrument verwenden, um Ihr Spielprotokoll zu überprüfen. https://888tron.com/api/getHistory?address= - Nach (=) geben Sie Ihre Wallet-Nummer ein.
question_5	Meine Tronlink-Wallet wird heute nicht auf der 888tron.com-Website angezeigt.
answer_5	Aktualisieren Sie die Website. Aktualisieren Sie Ihre Wallet oder melden Sie sich bei Bedarf erneut an. Stellen Sie sicher, dass Ihre Wallet unter dem Mainnet funktioniert. Wählen Sie im Wallet-Menü Einstellungen einen anderen benutzerdefinierten Knoten aus der verfügbaren Liste.
question_6	Meine 888 Tokens frieren nicht ein (auftauen).
answer_6	Vergewissern Sie sich, dass Sie mindestens 5 TRX auf Ihrem Wallet haben. Jedes Mal, wenn Sie Ihre Token einfrieren oder auftauen, benötigen Sie Energie und Bandbreite. Warten Sie 5-10 Sekunden. Wenn nichts passiert ist, aktualisieren Sie die Website. Aktualisieren Sie Ihre Wallet oder melden Sie sich bei Bedarf erneut an. Stellen Sie sicher, dass Ihre Wallet unter dem Mainnet funktioniert. Wählen Sie im Wallet-Menü Einstellungen einen anderen benutzerdefinierten Knoten aus der verfügbaren Liste.
question_7	Mein Werbungslink funktioniert nicht.
answer_7	Sie wurden zu einer anderen Empfehlung zu 888tron.com eingeladen. Nun ist Ihre Brieftasche an diese Überweisung gebunden und Sie können Ihren eigenen Ref.link nicht für sich selbst verwenden.
question_8	Wie kann ich meine Dividenden von 888 Token erhalten?
answer_8	Klicken Sie auf "Auftauen" auf 888tron.com (Abschnitt "Dividenden"), um sie zu erhalten. Dividenden werden sofort in Ihre Wallet transferiert. Vergewissern Sie sich, dass Sie 3 TRX auf Ihrem Wallet haben. Vergessen Sie nicht, Ihre Tokens erneut einzufrieren, damit Sie die nächste Dividenten-Ausschüttung nicht verpassen.
question_9	Was muss ich tun, um auf 888tron anfangen zu spielen?
answer_9	Sie benötigen einen Chrome-Browser. Registrieren Sie die TRONLink-Wallet, um auf dem Desktop zu spielen. <br> Um auf dem Handy zu spielen, verwenden Sie bitte Math Wallet (www.mathwallet.org), <br> TronWallet (www.TronWallet.me), <br> Banko Wallet (www.bankowallet.com).
question_10	Wo kann ich meine Tokens tauschen?
answer_10	Du kannst deine 888 Tokens hier tauschen: https://trontrade.io
question_11	Wo kann ich Informationen über Ihre Tokenadresse und Ihre Plattform abrufen?
answer_11	www.tronscan.org <br>Token address: TLvDJcvKJDi3QuHgFbJC6SeTj3UacmtQU3<br> 888tron game smart contract address: TGtGhthzyLBYPUKDysXX1YSgRKPYVTQuMe <br>Github:https://github.com/888tron/contracts/blob/master/Token888.sol <br>https://github.com/888tron/contracts
troubleshooting	Problemlösung
question_12	I cannot find my 888 tokens after they were unfreezed.
answer_12	You can check all your token transfers on tronscan.org (TRC-20 Transfers section) by typing in your wallet number where tokens are stored. All tokens transactions are kept in blockchain and cannot be faked or lost.
referrals_alert	Commission is collected to avoid bots creating referral links. Commission goes to Div's smart contract for farther distribution between token holders.
question_13	Will I receive dividends every round, even if I leave 888 frozen or I have to unfreeze to get TRX? 
answer_13	Divs will be credited to your internal 888 account automatically. There is no need to unfreeze your tokens every time. To transfer TRX on your wallet you need to unfreeze tokens.
overview	Überblick
buyback_pool	888 Token Rueckkaufmenge
buyback_text	15% des Team Einkommens wird genutzt, um 888 Tokens für die nächsten 3 Monat zurück zu kaufen.
to_burnt	888 Tokens werden verbrannt
to_burnt_text	Ab 9. April werden jede 2. Woche 20% der zurückgekauften Tokens verbrannt.
timer_days	Tage
timer_hours	Std
timer_minutes	Protokoll
timer_seconds	Sekunden
total_bet	Total Bet
tokens	Tokens
buy_trx	Kaufen TRX
games	Spieler
roulette	Roulette
baccarat	Baccarat
black_Jjack	Black Jack
poker	Poker
to_the_moon	To the Moon
white_paper	White Paper
faq	FAQ
promo	PROMO
logo	LOGO
banners	Banners
facts_title	8 facts about 888tron.com
fact_1	1. 888tron.com is a fully decentralized platform built on TRON blockchain smart contracts.
fact_2	2. Playing there takes place directly from the user's crypto wallet. Passwords and access to a personal wallet are not requested by the 888tron platform and are not saved.
fact_3	3. Reward payments are instantly sent to the player’s wallet. The payout speed depends only on the network bandwidth TRON.
fact_4	4. The player receives 888 tokens for every bet. The purpose of the 888 token is to receive dividends that are credited every 48 hours. Owners of 888 tokens receive 65% of all profits of the 888tron platform in the form of dividend payments.
fact_5	5. The 888tron platform set a record among the DApps of all blockchains in payout. One-time dividend payments reached more than 250M TRX, which is more than $5.8M.
fact_6	6. 888tron smart contracts and TRON blockchain showed stable operation without failures and errors. During peak loads, more than 40% of all TRON blockchain transactions belonged to 888tron platform (more than 30 transactions per second).
fact_7	7. 888 platform is the only one which first launched crypto slots and makes unique decentralized games.
fact_8	8. 888 platform is the winner of the Tron Network accelerator.
social	Social
burnt	Burnt 888
burnt_log	888 Burnt Log
quantity	Quantity
hash	Hash
availableToWithdraw	Available to withdraw dividends:
request_unfreeze	Request Unfreeze
available_unfreeze	Available to Unfreeze
unfreezable	Unfreezable
confirm	Confirm
all	All
mine	Mine 888
withdraw_text	Withdraw Button. The button allows you to withdraw the accumulated dividends from previous levels without additional freezing / unfreezing by automatically and instantly transferring them to your wallet.
request_text	Request Unfreeze (24). The unfreezing of tokens occurs in two stages: first one - you request the number of tokens which you want to unfreeze (on clicking on the button, you can see a dialog with the choice of the number of tokens you want to unfreeze). Then, after 24 hours, they become available for unfreezing, it means that the Unfreeze button, which needs to be clicked, becomes available for clicking, so that the tokens are transferred to your wallet.<br>Token’s unfreezing timer in 24 hours is reset and restarted in the following cases:<br>- If you request a new number of tokens for unfreezing, without withdrawing the tokens that were unfrozen by the previous request.<br>- If you decide to freeze the new number of tokens without withdrawing the tokens that were unfrozen by the previous request.
withdrawable_dividends	Withdrawable dividends:
get_rewarded	Get rewarded just by referring your friends!
just_copy	Just copy the link and share it to all your friends!
cost_to_create	The cost to create a referral link is 8.88 TRX and less than 1 TRX transaction fee.
create_new_referral	You can create new referral links as many times as you want. The old one will be replaced automatically.
referrals_text	Enjoy lifetime rewards just by referring your friends! Receive 0.2% of all their bets. All rewards are sent out automatically through our smart contracts.
is_coming	Is coming
start_playing	Start Playing
total_paid_out	Dividends paid out
lines	Lines
install_extension	Install Extension
using_chrome	(TRONEXT is only available using Chrome browser for the time being)
for_developers	For Developers
about_us	About Us
our_partners	Our Partners
wallet	Wallet
dapps_overview	Dapps data overview
bug_program	Bug Bounty Program
careers	Careers
bug_program_1	888 Bug Bounty Program was created to reward the users that invest their time into helping us improve the security and the overall functionality of our platform.
bug_program_2	Through this program, we provide monetary compensation for vulnerabilities that were discovered and reported to our team in a responsible manner.
criteria_eligibility	Criteria for eligibility
bug_program_3	Any bug that poses a significant vulnerability, either to the security of our platform or the integrity of our brand, could be eligible for the program.
bug_program_4	Any bug that poses a significant vulnerability, either to the security of our platform or the integrity of our brand, could be eligible for the program.
bug_program_5	<li>Code Injection;</li><li>Remote Code Execution;</li><li>Privilege Escalation;</li><li>Authentication Bypass;</li><li>Leakage of Sensitive Data.</li>
bugs_are_not	Bugs that are not eligible for reporting
bug_program_6	Any bug or security issue that our team has no control over is not eligible for our bug bounty program. This includes, but is not limited to, the following:
bug_program_7	<li>Cross-Site Scripting (XSS);</li><li>Cross-Site Request Forgery (CSRF);</li><li>Clickjacking;</li><li>Vulnerabilities on sites hosted by third parties, unless they pose a threat to our main website;</li><li>Vulnerabilities caused by physical attacks, social engineering, spamming, DDOS attack, etc;</li><li>Vulnerabilities caused by outdated or unpatched browsers;</li><li>Vulnerabilities in third-party applications that make use of 888 API.</li><li>Bugs that were not investigated and reported responsibly;</li><li>Bugs that were already reported to our team (the reward goes to the first person who reported it);</li><li>Issues that aren't reproducible.</li>
reward	Reward
bug_program_8	The minimum reward for eligible bugs is the equivalent of €100 in TRX. However, the compensation will increase based on the gravity of the issue reported.
bug_program_9	Besides the monetary compensation (and our eternal gratitude), you can also choose to have your name and an URL of your choice displayed on our website’s Wall of Fame section.
how_to_report	How to Report a Bug
bug_program_9	To report a bug, send us an email at tech@888tron.com.
bug_program_10	Your email should include as much information as possible about the bug, including a description, possible solutions, its potential impact, and steps to reproduce it or proof of its existence.
bug_program_11	Don’t forget to also include your TRX address for payment.
bug_program_12	Notice: It may take us up to 2 business days to get back to you.
investigation_and_reporting	Responsible Investigation and Reporting
bug_program_13	888 encourages you to always operate within legal boundaries when trying to identify potential security issues.
bug_program_14	Some general rules that ensure a responsible investigation and reporting process include, but are not limited to, the following:
bug_program_15	<li>Don't violate the privacy of other users, destroy data, disrupt our services, etc.;</li><li>Only target your own accounts in the process of investigating a bug;</li><li>Don't target our physical security measures or attempt to use social engineering, spam, distributed denial of service (DDOS) attacks, etc.;</li><li>Report the bug in a responsible manner, and only to 888;</li><li>Be patient while waiting for a reply, and do not disclose the bug to anyone else. If you decide to do so, give us a notice beforehand;</li><li>In general, please investigate and report bugs in a way that makes a reasonable, good-intentioned effort not to be disruptive or harmful to us or to our users.</li>
career_1_title	Java, Scala Developer
career_1_1	888 professional data teams built from data engineers, data scientists, economy managers, BI engineers, Business analysts.
career_1_2	You will partner with 888 domain experts and top-level business professionals in the gaming and online marketing industries.
career_1_3	The role includes development of major modules from scratch, working with cutting edge technologies.
requirements	Requirements:
career_1_4	<li>2-4 years with Back-end development</li><li>B.Sc in Computer Science, Mathematics, Statistics or Engineering</li><li>2+ years of JVM based language (Java/Scala, etc..) experience</li><li>Demonstrated strength in data modeling, ETL development, and data warehousing</li><li>Experience with ETL process, real time or batch pipelines - Advantages</li>
apply_position	Apply for position be sending us your resume at
career_2_title	Solidity block chain developer (Ethereum, Tron)
career_2_1	888 is looking for solidity developer to help us build unique block chain based games on Tron and Ethereum smart contracts.
career_2_2	<li>2-4 years with Solidity development</li><li>B.Sc in Computer Science, Mathematics, Statistics or Engineering</li><li>2+ years of Ethereum/Tron blockchain based language experience</li>
career_3_title	Java script front end developer
career_3_1	888 is looking for a Talented Java script developer to implement our game design ideas into life.
career_3_2	<li>2-4 years with Front-end development</li><li>B.Sc in Computer Science, Mathematics, Statistics or Engineering</li><li>2+ years of Web Frontend (ReactJS, Angular, etc...) experience</li><li>Knowledge of Flash</li><li>Gaming background</li><li>Ability to meet deadlines in a strong team environment</li>
career_4_title	Brand Designer
career_4_1	888 is looking for a visionary brand designer to help build and develop our corporate brand language worldwide.
career_4_2	In this exciting new role, you’ll be responsible for developing all the design aspects of 888 brand needs around the world!
career_4_3	So who are you?
career_4_4	You’re a passionate designer. You love doing hands-on design work and you have a keen eye for visual aesthetics.
career_4_5	You’re a creative storyteller. You love creating experiences through design and you’re not daunted by the challenge of doing it at a global scale.
career_4_6	You’re a strategic thinker. You understand that brand design must always support the business objectives. You’re driven by the bigger picture without ever compromising on the details.
career_4_7	You’re a collaborative operator. You’re a self-starter who knows how to navigate within a large organization and collaborate with colleagues around the world.
career_4_8	As our brand designer, you will:
career_4_9	Activate and develop the company’s new brand language internally to create deep engagement with our employees.
career_4_10	Develop and execute amazing brand activation concepts for events, conferences and sponsorships - including: booths, experiences, marketing materials, giveaways, social media, etc.
career_4_11	Prepare creative briefs, outlining project goals and expectations.
career_4_12	Collaborate and work closely with talented teams, such as designers, copywriters, video artists and others.
career_4_13	You are:
career_4_14	Capable of taking idea to execution and guiding the creative process.
career_4_15	Organized, detail-oriented and skilled at juggling multiple challenging projects at once in a fast-paced work environment.
career_4_16	An exceptional communicator with strong verbal, written and presentation skills in English.
career_4_17	<li>2+ years in design</li><li>Fast learner with a thirst for knowledge and depth</li><li>Strong written, verbal and visual communications skills</li><li>Exceptional communication and interpersonal skills </li><li>Agile, adaptable and flexible personality</li><li>Fluent in English</li>
career_5_title	Game Designer
career_5_1	We’re looking for a dynamic, self-motivated team player with skills and passion for Game Designing.
career_5_2	This position requires a creative candidate who has a balance of gaming know-how and product/project management orientation.
responsibilities	Responsibilities
career_5_3	<li>Research, create and develop ideas for new games</li><li>Write game design specifications including game logic, design ideas and mock-ups</li><li>Meet deadlines, work well under pressure and on simultaneous tasks</li><li>Understand player behavior and user experience </li><li>Work with multiple cross-departmental teams</li>
career_5_4	<li>Up to 2 years of related experience in game designing or bachelor of game designing related studies</li><li>Passion for the gaming world </li><li>Understanding game mechanics and game-play elements- art and content </li><li>Former background in content writing- advantage </li><li>Good familiarity with the American and Chineese culture – a major advantage</li><li>Bachelor of Industrial Design studies- advantage </li><li>Ability to work collaboratively, solving complex problems on own initiative and also in a team</li><li>Ability to communicate ideas and theories clearly </li><li>Great communication and interpersonal skills</li>
career_6_title	UI/UX Designer
career_6_1	888 is looking for the next rising UI design Star for its top-notch, industry leading product In this role, you will be responsible for user experience, visual design concepts and Game user interface across digital products and platforms
career_6_2	As part of a great team you will receive everything you can dream of from super friendly and creative co-workers &amp; a strong focus on your development, to projects that will inspire the hole Gaming Industry Your best work is yet to come…
major_respons	Major Responsibilities:
career_6_3	<li>Conceptualize, present and execute your ideas from A to Z. Lead your own creation</li><li>Stay updated on the latest developments, trends and thinking within Digital Design</li><li>Create a playful, intuitive cohesive look &amp; feel, and overall user experience for our products</li><li>The ability to work in a dynamic environment quick decision making within tight schedules</li><li>CAN DO APPROACH!</li>
career_6_4	<li>Strong design, drawing, Color, composition, and conceptual ideation abilities</li><li>At least 3 years of experience in UI and understanding of UI principals</li><li>Excellent knowledge of Photoshop.</li><li>Quick sketching methods and the ability to create accurate wireframes</li><li>Strong understanding of typography</li><li>Ability to meet deadlines in a strong team environment</li><li>Strong multi-tasking ability</li><li>Resourceful with excellent follow-through skills</li>
advantage	Advantage:
career_6_5	<li>Knowledge of Flash, After effects and Illustrator </li><li>Gaming background</li><li>Have a passion for making and playing video games</li>
career_6_6	*** PLEASE ATTACH A PORTFOLIO OR A LINK TO AN ONLINE VERSION
career_6_7	(We will contact only resumes with portfolio links)
coming_soon	coming soon
game_overview	Game Overview
how_roulette_1	<p>'Roulette with track' is a European single zero game version with the additional feature of a race track betting field added.</p><p>The numbers on the roulette wheel run from 0 to 36. There is one zero on the wheel.</p><p>The minimum and maximum bets are indicated on the table and during game play.</p><p>Winnings are paid according to the Pay table. To check the Pay table click the 'Payments' button.</p><p>To see game statistics click the 'Numbers' button. 'Hot' numbers display five most frequently won numbers in descending order. 'Cold' numbers display five most rarely won numbers. The grey numbers under the 'Hot' and the 'Cold' numbers display the number of times that the number has been spun in fixed number of rounds.</p>
betting_process	Betting Process
how_roulette_2	<p>Possible places to bet are highlighted when pointed.</p><p>The bet is made when the chip is placed in the selected area.</p><p>To select a bet, click your chosen chip value and select the position on the table for your wager.</p><p>To see all versions of the bets click the highlighted arrow.</p><p>To clear all bets click the 'Cancel' button.</p><p>If the size of the bet exceeds the table limit, the bet will be adjusted automatically downwards to the largest possible sum.</p><p>To spin the ball click the 'Spin' button.</p><p>When the ball lands in the winning number, the payouts will be made according to the placed bets.</p>
roulette_bets	Bets in the Roulette Track
how_roulette_3	'Roulette with track' features outside bets, inside bets and call bets. All the bets differ according to their payouts. Check the payouts of each bet in the 'Payments' section.
outside_bets	OUTSIDE BETS
how_roulette_4	<p>Outside bets are placed on sections of twelve or eighteen numbers at a time.</p><p>To place an outside bet place your chips on the selected section of the table.</p><p>1 to 18/19 to 36 (Even Chances)</p><p>These bets are placed on two large groups of numbers.</p><p>The first includes numbers from 1 to 18, the second - from 19 to 36. Payout is 1:1.</p><p>Even/Odd (Even Chances)</p><p>According to the rules of Roulette these bets are placed on the numbers of groups distinguished by the category of parity. Payout is 1:1.</p><p>Red/Black (Even Chances)</p><p>The bets are placed according to the color of the numbers. Payout is 1:1.</p><p>Column</p><p>There are three types of bet. Each is placed on the groups containing 12 pockets. Column bets may be placed</p><p>on one of three columns on the main table layout marked as '2' to '1'. Payout is 2:1.</p><p>Dozen</p><p>Dozen bets are placed on 3 groups of numbers marked on the table layout as '1st 12', '2nd 12' and '3rd 12'. Payout is 2:1.</p>
inside_bets	INSIDE BETS
how_roulette_5	<p>Straight bet</p><p>Straight bet may be placed on any single number on the table layout. Payout is 35:1.</p><p>Split bet</p><p>Split bet is placed on two adjacent numbers located together on the table layout. Payout is 17:1.</p><p>Street bet</p><p>Street bet is placed on a row of three numbers. Payout is 11:1.</p><p>Corner</p><p>Corner bet is placed on four adjoining numbers. Payout is 8:1.</p><p>Six-line</p><p>Six-line bet is placed on six adjoining numbers. Payout is 5:1.</p>
call_bets	CALL BETS
how_roulette_6	Call bets are placed according to the sequence of numbers on the roulette wheel.
